treatment,replicate,timepoint,phage,host,infectivity,resistance
5-clone,7,1,1,1,1.53E-17,1
5-clone,7,1,2,2,-6.08E-17,1
5-clone,7,1,3,3,-4.56E-18,1
5-clone,7,1,4,4,5.93E-18,1.00E+00
5-clone,7,1,5,5,5.87E-17,1
5-clone,7,1,6,6,0.020833333,1
5-clone,7,1,7,7,3.78E-17,1
5-clone,7,1,8,8,-9.47E-18,1
5-clone,7,1,9,9,0.020833333,0.958333333
5-clone,7,1,10,10,-6.94E-18,1
5-clone,7,1,11,11,-7.37E-18,1
5-clone,7,1,12,12,-7.37E-18,1
5-clone,7,3,1,1,0.020833333,1
5-clone,7,3,2,2,0.020833333,1
5-clone,7,3,3,3,0.020833333,0.75
5-clone,7,3,4,4,0.020833333,1
5-clone,7,3,5,5,0.020833333,0.75
5-clone,7,3,6,6,0.020833333,1
5-clone,7,3,7,7,0.020833333,1
5-clone,7,3,8,8,0.020833333,1
5-clone,7,3,9,9,0.020833333,0.75
5-clone,7,3,10,10,0.020833333,1
5-clone,7,3,11,11,1.75E-17,0.75
5-clone,7,3,12,12,0.020833333,1
5-clone,7,5,1,1,0,1
5-clone,7,5,2,2,0,1
5-clone,7,5,3,3,0,1
5-clone,7,5,4,4,0,1
5-clone,7,5,5,5,0,0.75
5-clone,7,5,6,6,0,1
5-clone,7,5,7,7,0,0.75
5-clone,7,5,8,8,0,0.75
5-clone,7,5,9,9,0,1
5-clone,7,5,10,10,0,0.770833333
5-clone,7,5,11,11,0,1
5-clone,7,5,12,12,0,1
5-clone,7,7,1,1,0.166666667,1
5-clone,7,7,2,2,0.166666667,1
5-clone,7,7,3,3,0.166666667,1
5-clone,7,7,4,4,0.166666667,1
5-clone,7,7,5,5,0.166666667,1
5-clone,7,7,6,6,0.166666667,0.75
5-clone,7,7,7,7,0.166666667,1
5-clone,7,7,8,8,0.166666667,1
5-clone,7,7,9,9,0.166666667,1
5-clone,7,7,10,10,0.166666667,1
5-clone,7,7,11,11,0.166666667,1
5-clone,7,7,12,12,0.166666667,1
