treatment,replicate,timepoint,phage,host,infectivity,resistance
5-clone,6,1,1,1,0.041666667,1
5-clone,6,1,2,2,0.041666667,1
5-clone,6,1,3,3,0.041666667,1
5-clone,6,1,4,4,0.041666667,1.00E+00
5-clone,6,1,5,5,0.041666667,0.020833333
5-clone,6,1,6,6,0.041666667,0.020833333
5-clone,6,1,7,7,0.041666667,1
5-clone,6,1,8,8,0.041666667,1
5-clone,6,1,9,9,0.041666667,1
5-clone,6,1,10,10,0.041666667,1
5-clone,6,1,11,11,0.041666667,0.979166667
5-clone,6,1,12,12,-2.08E-16,0.25
5-clone,6,3,1,1,0.104166667,0.75
5-clone,6,3,2,2,0.104166667,1
5-clone,6,3,3,3,0.104166667,1
5-clone,6,3,4,4,0.104166667,1
5-clone,6,3,5,5,0.104166667,1
5-clone,6,3,6,6,0.104166667,0.5
5-clone,6,3,7,7,0.104166667,1
5-clone,6,3,8,8,0.104166667,1
5-clone,6,3,9,9,0.104166667,0.75
5-clone,6,3,10,10,0.104166667,1
5-clone,6,3,11,11,0.104166667,1
5-clone,6,3,12,12,0.104166667,1
5-clone,6,5,1,1,0.229166667,1
5-clone,6,5,2,2,0.229166667,1
5-clone,6,5,3,3,0.229166667,1
5-clone,6,5,4,4,0.229166667,1
5-clone,6,5,5,5,0.229166667,1
5-clone,6,5,6,6,0.229166667,0.5
5-clone,6,5,7,7,0.229166667,1
5-clone,6,5,8,8,0.229166667,1
5-clone,6,5,9,9,0.229166667,1
5-clone,6,5,10,10,0.229166667,1
5-clone,6,5,11,11,0.229166667,1
5-clone,6,5,12,12,0.229166667,1
5-clone,6,7,1,1,0.229166667,1
5-clone,6,7,2,2,0.229166667,1
5-clone,6,7,3,3,0.229166667,1
5-clone,6,7,4,4,0.229166667,1
5-clone,6,7,5,5,0.229166667,0.5
5-clone,6,7,6,6,0.229166667,0.5
5-clone,6,7,7,7,0.229166667,1
5-clone,6,7,8,8,0.229166667,0.5
5-clone,6,7,9,9,0.229166667,0.5
5-clone,6,7,10,10,0.229166667,0.5
5-clone,6,7,11,11,0.25,0.5
5-clone,6,7,12,12,0.229166667,1
