treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,8,1,1,1,0.020833333,1
1-clone,8,1,2,2,0.020833333,7.50E-01
1-clone,8,1,3,3,0.020833333,1
1-clone,8,1,4,4,0.020833333,1
1-clone,8,1,5,5,0.020833333,1
1-clone,8,1,6,6,0.020833333,1
1-clone,8,1,7,7,0.020833333,1
1-clone,8,1,8,8,0.020833333,1
1-clone,8,1,9,9,0.020833333,1
1-clone,8,1,10,10,0.020833333,1
1-clone,8,1,11,11,0.020833333,1
1-clone,8,1,12,12,0.166666667,1
1-clone,8,3,1,1,0.145833333,0.479166667
1-clone,8,3,2,2,0.125,0.479166667
1-clone,8,3,3,3,0.125,1.00E+00
1-clone,8,3,4,4,0.125,1
1-clone,8,3,5,5,0.125,1
1-clone,8,3,6,6,0.125,4.79E-01
1-clone,8,3,7,7,0.125,0.479166667
1-clone,8,3,8,8,0.125,0.479166667
1-clone,8,3,9,9,0.125,1
1-clone,8,3,10,10,0.125,1
1-clone,8,3,11,11,0.125,1
1-clone,8,3,12,12,0.125,0.479166667
1-clone,8,5,1,1,0.041666667,1
1-clone,8,5,2,2,0.041666667,1
1-clone,8,5,3,3,0.041666667,1
1-clone,8,5,4,4,0.041666667,1
1-clone,8,5,5,5,0.041666667,1
1-clone,8,5,6,6,0.041666667,0.458333333
1-clone,8,5,7,7,0.041666667,1
1-clone,8,5,8,8,0.041666667,1
1-clone,8,5,9,9,0.041666667,1
1-clone,8,5,10,10,0.041666667,1
1-clone,8,5,11,11,0.041666667,1
1-clone,8,5,12,12,0.041666667,1
1-clone,8,7,1,1,0.145833333,1
1-clone,8,7,2,2,0.145833333,1
1-clone,8,7,3,3,0.145833333,1
1-clone,8,7,4,4,0.145833333,1
1-clone,8,7,5,5,0.145833333,1
1-clone,8,7,6,6,0.145833333,0.75
1-clone,8,7,7,7,0.145833333,1
1-clone,8,7,8,8,0.145833333,1
1-clone,8,7,9,9,0.145833333,1
1-clone,8,7,10,10,0.145833333,1
1-clone,8,7,11,11,0.145833333,1
1-clone,8,7,12,12,0.145833333,1
