treatment,replicate,timepoint,phage,host,infectivity,resistance
5-clone,2,1,1,1,0.020833333,1
5-clone,2,1,2,2,0.020833333,1
5-clone,2,1,3,3,0.020833333,1
5-clone,2,1,4,4,0.020833333,4.66E-15
5-clone,2,1,5,5,0.020833333,1
5-clone,2,1,6,6,0.020833333,1
5-clone,2,1,7,7,0.020833333,1
5-clone,2,1,8,8,0.020833333,1
5-clone,2,1,9,9,0.020833333,1
5-clone,2,1,10,10,0.020833333,1
5-clone,2,1,11,11,0.020833333,1
5-clone,2,1,12,12,0.020833333,1
5-clone,2,3,1,1,0.027777778,0.5
5-clone,2,3,2,2,0.041666667,1
5-clone,2,3,3,3,0.020833333,0.5
5-clone,2,3,4,4,0.041666667,0.5
5-clone,2,3,5,5,0.041666667,0.5
5-clone,2,3,6,6,0.041666667,1
5-clone,2,3,7,7,0.041666667,0.5
5-clone,2,3,8,8,0.041666667,0.5
5-clone,2,3,9,9,0.041666667,1
5-clone,2,3,10,10,0.041666667,1
5-clone,2,3,11,11,0.041666667,0.5
5-clone,2,3,12,12,0.041666667,0.770833333
5-clone,2,5,1,1,0.1875,1
5-clone,2,5,2,2,0.1875,0.75
5-clone,2,5,3,3,0.1875,1
5-clone,2,5,4,4,0.1875,0.75
5-clone,2,5,5,5,0.1875,0.75
5-clone,2,5,6,6,0.1875,1
5-clone,2,5,7,7,0.1875,0.75
5-clone,2,5,8,8,0.1875,0.75
5-clone,2,5,9,9,0.1875,1
5-clone,2,5,10,10,0.1875,1
5-clone,2,5,11,11,0.1875,1
5-clone,2,5,12,12,0.1875,0.75
5-clone,2,7,1,1,0.479166667,0.75
5-clone,2,7,2,2,0.479166667,0.75
5-clone,2,7,3,3,0.479166667,1
5-clone,2,7,4,4,0.479166667,0.75
5-clone,2,7,5,5,0.479166667,0.75
5-clone,2,7,6,6,0.479166667,1
5-clone,2,7,7,7,0.479166667,0.75
5-clone,2,7,8,8,0.479166667,0.75
5-clone,2,7,9,9,0.479166667,0.75
5-clone,2,7,10,10,0.479166667,0.75
5-clone,2,7,11,11,0.479166667,0.75
5-clone,2,7,12,12,0.479166667,0.75
