treatment,replicate,timepoint,phage,host,infectivity,resistance
5-clone,9,1,1,1,0.00E+00,1
5-clone,9,1,2,2,0.00E+00,1
5-clone,9,1,3,3,0.00E+00,1
5-clone,9,1,4,4,0.00E+00,1.00E+00
5-clone,9,1,5,5,0.00E+00,1
5-clone,9,1,6,6,0,1
5-clone,9,1,7,7,0.00E+00,0.979166667
5-clone,9,1,8,8,0.00E+00,0.979166667
5-clone,9,1,9,9,0,1
5-clone,9,1,10,10,0.00E+00,1
5-clone,9,1,11,11,0.00E+00,1
5-clone,9,1,12,12,0.00E+00,1
5-clone,9,3,1,1,0.25,1
5-clone,9,3,2,2,0.25,0.5
5-clone,9,3,3,3,0.25,1
5-clone,9,3,4,4,0.25,0.5
5-clone,9,3,5,5,0.25,0.5
5-clone,9,3,6,6,0.25,1
5-clone,9,3,7,7,0.25,0.5
5-clone,9,3,8,8,0.25,1
5-clone,9,3,9,9,0.25,0.75
5-clone,9,3,10,10,0.25,0.5
5-clone,9,3,11,11,2.50E-01,0.75
5-clone,9,3,12,12,0.25,1
5-clone,9,5,1,1,0.25,0.5
5-clone,9,5,2,2,0.25,0.5
5-clone,9,5,3,3,0.25,0.5
5-clone,9,5,4,4,0.25,1
5-clone,9,5,5,5,0.25,1
5-clone,9,5,6,6,0.270833333,1
5-clone,9,5,7,7,0.25,0.5
5-clone,9,5,8,8,0.25,0.5
5-clone,9,5,9,9,0.270833333,1
5-clone,9,5,10,10,0.25,0.5
5-clone,9,5,11,11,0.25,1
5-clone,9,5,12,12,0.25,1
5-clone,9,7,1,1,0,1
5-clone,9,7,2,2,0,1
5-clone,9,7,3,3,0,1
5-clone,9,7,4,4,0,1
5-clone,9,7,5,5,0,1
5-clone,9,7,6,6,0,1
5-clone,9,7,7,7,0,1
5-clone,9,7,8,8,0,1
5-clone,9,7,9,9,0,1
5-clone,9,7,10,10,0,1
5-clone,9,7,11,11,0,1
5-clone,9,7,12,12,0,1
