treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,1,1,1,1,0.024475524,1
1-clone,1,1,2,2,0.024475524,0.791666667
1-clone,1,1,3,3,0.017482517,1
1-clone,1,1,4,4,0.024475524,0.833333333
1-clone,1,1,5,5,0.024475524,0.833333333
1-clone,1,1,6,6,0.017482517,0.923611111
1-clone,1,1,7,7,0.024475524,1
1-clone,1,1,8,8,0.024475524,1
1-clone,1,1,9,9,0.024475524,1
1-clone,1,1,10,10,0.024475524,1
1-clone,1,1,11,11,0.024475524,0.833333333
1-clone,1,1,12,12,0.048951049,1
1-clone,1,3,1,1,0.146853147,0.6875
1-clone,1,3,2,2,0.153846154,0.690972222
1-clone,1,3,3,3,0.15034965,9.03E-01
1-clone,1,3,4,4,0.15034965,0.777777778
1-clone,1,3,5,5,0.15034965,0.78125
1-clone,1,3,6,6,0.15034965,6.91E-01
1-clone,1,3,7,7,0.15034965,0.633333333
1-clone,1,3,8,8,0.15034965,0.690972222
1-clone,1,3,9,9,0.15034965,0.777777778
1-clone,1,3,10,10,0.15034965,0.777777778
1-clone,1,3,11,11,0.15034965,0.777777778
1-clone,1,3,12,12,0.15034965,0.690972222
1-clone,1,5,1,1,0.13986014,0.875
1-clone,1,5,2,2,0.143356643,0.958333333
1-clone,1,5,3,3,0.143356643,0.875
1-clone,1,5,4,4,0.143356643,0.878472222
1-clone,1,5,5,5,0.143356643,0.788194444
1-clone,1,5,6,6,0.143356643,0.784722222
1-clone,1,5,7,7,0.143356643,0.878472222
1-clone,1,5,8,8,0.143356643,0.875
1-clone,1,5,9,9,0.143356643,0.875
1-clone,1,5,10,10,0.143356643,1
1-clone,1,5,11,11,0.143356643,0.788194444
1-clone,1,5,12,12,0.143356643,0.875
1-clone,1,7,1,1,0.129370629,1
1-clone,1,7,2,2,0.129370629,1
1-clone,1,7,3,3,0.129370629,1
1-clone,1,7,4,4,0.129370629,1
1-clone,1,7,5,5,0.171328671,0.923611111
1-clone,1,7,6,6,0.171328671,0.958333333
1-clone,1,7,7,7,0.171328671,1
1-clone,1,7,8,8,0.129370629,1
1-clone,1,7,9,9,0.129370629,1
1-clone,1,7,10,10,0.129370629,1
1-clone,1,7,11,11,0.171328671,1
1-clone,1,7,12,12,0.132867133,1
