treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,11,1,1,1,0.042553191,1
1-clone,11,1,2,2,0.042553191,1.00E+00
1-clone,11,1,3,3,0.00E+00,1
1-clone,11,1,4,4,0.042553191,1
1-clone,11,1,5,5,0.042553191,1
1-clone,11,1,6,6,7.54E-17,0.541666667
1-clone,11,1,7,7,0.042553191,1
1-clone,11,1,8,8,0.042553191,1
1-clone,11,1,9,9,0.042553191,1
1-clone,11,1,10,10,0.042553191,1
1-clone,11,1,11,11,0.042553191,1
1-clone,11,1,12,12,0.042553191,1
1-clone,11,3,1,1,0,1
1-clone,11,3,2,2,0,1
1-clone,11,3,3,3,0,1.00E+00
1-clone,11,3,4,4,0,1
1-clone,11,3,5,5,0,1
1-clone,11,3,6,6,0,1.00E+00
1-clone,11,3,7,7,0,1
1-clone,11,3,8,8,0,1
1-clone,11,3,9,9,0,1
1-clone,11,3,10,10,0,1
1-clone,11,3,11,11,0,1
1-clone,11,3,12,12,0,NA
1-clone,11,5,1,1,0,1
1-clone,11,5,2,2,0,1
1-clone,11,5,3,3,0,1
1-clone,11,5,4,4,0,1
1-clone,11,5,5,5,0,1
1-clone,11,5,6,6,0,1
1-clone,11,5,7,7,0,1
1-clone,11,5,8,8,0,1
1-clone,11,5,9,9,0,1
1-clone,11,5,10,10,0,1
1-clone,11,5,11,11,0,1
1-clone,11,5,12,12,0,NA
1-clone,11,7,1,1,0.042553191,1
1-clone,11,7,2,2,0.042553191,1
1-clone,11,7,3,3,0.042553191,1
1-clone,11,7,4,4,0.042553191,1
1-clone,11,7,5,5,0.042553191,0.541666667
1-clone,11,7,6,6,0.042553191,1
1-clone,11,7,7,7,0.042553191,1
1-clone,11,7,8,8,0.042553191,1
1-clone,11,7,9,9,0.042553191,1
1-clone,11,7,10,10,0.042553191,1
1-clone,11,7,11,11,0.042553191,1
1-clone,11,7,12,12,0.042553191,1
