treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,9,1,1,1,0,1
1-clone,9,1,2,2,0,1.00E+00
1-clone,9,1,3,3,0,1
1-clone,9,1,4,4,0,1
1-clone,9,1,5,5,0,1
1-clone,9,1,6,6,0,1
1-clone,9,1,7,7,0,1
1-clone,9,1,8,8,0,1
1-clone,9,1,9,9,0,1
1-clone,9,1,10,10,0,1
1-clone,9,1,11,11,0,1
1-clone,9,1,12,12,0,1
1-clone,9,3,1,1,0.042553191,1
1-clone,9,3,2,2,0.021276596,1
1-clone,9,3,3,3,2.43E-17,1.00E+00
1-clone,9,3,4,4,0.00E+00,1
1-clone,9,3,5,5,0.00E+00,1
1-clone,9,3,6,6,6.61E-18,1.00E+00
1-clone,9,3,7,7,0.00E+00,1
1-clone,9,3,8,8,3.20E-17,1
1-clone,9,3,9,9,3.36E-17,1
1-clone,9,3,10,10,1.20E-18,1
1-clone,9,3,11,11,0.00E+00,1
1-clone,9,3,12,12,7.62E-17,1
1-clone,9,5,1,1,0.042553191,1
1-clone,9,5,2,2,0.042553191,1
1-clone,9,5,3,3,0.042553191,1
1-clone,9,5,4,4,0.042553191,1
1-clone,9,5,5,5,0.042553191,0.479166667
1-clone,9,5,6,6,0.042553191,1
1-clone,9,5,7,7,0.042553191,1
1-clone,9,5,8,8,0.042553191,1
1-clone,9,5,9,9,0.042553191,1
1-clone,9,5,10,10,0.042553191,0.458333333
1-clone,9,5,11,11,0.042553191,1
1-clone,9,5,12,12,0.042553191,NA
1-clone,9,7,1,1,0.042553191,1
1-clone,9,7,2,2,0.042553191,1
1-clone,9,7,3,3,0.042553191,1
1-clone,9,7,4,4,0.042553191,1
1-clone,9,7,5,5,0.042553191,1
1-clone,9,7,6,6,0.042553191,1
1-clone,9,7,7,7,0.042553191,1
1-clone,9,7,8,8,0.042553191,1
1-clone,9,7,9,9,0.042553191,1
1-clone,9,7,10,10,0.042553191,1
1-clone,9,7,11,11,0.042553191,1
1-clone,9,7,12,12,0.042553191,1
