treatment,replicate,timepoint,phage,host,infectivity,resistance
5-clone,3,1,1,1,0,1
5-clone,3,1,2,2,0,1
5-clone,3,1,3,3,0,1
5-clone,3,1,4,4,0,9.80E-01
5-clone,3,1,5,5,0,1
5-clone,3,1,6,6,0,1
5-clone,3,1,7,7,0,1
5-clone,3,1,8,8,0,1
5-clone,3,1,9,9,0,1
5-clone,3,1,10,10,0,1
5-clone,3,1,11,11,0,1
5-clone,3,1,12,12,0,1
5-clone,3,3,1,1,0.1,1
5-clone,3,3,2,2,0.104166667,0.541666667
5-clone,3,3,3,3,0.104166667,0.4375
5-clone,3,3,4,4,0.104166667,1
5-clone,3,3,5,5,0.104166667,0.4375
5-clone,3,3,6,6,0.104166667,1
5-clone,3,3,7,7,0.104166667,1
5-clone,3,3,8,8,0.104166667,0.541666667
5-clone,3,3,9,9,0.104166667,0.4375
5-clone,3,3,10,10,0.104166667,0.4375
5-clone,3,3,11,11,0.104166667,0.291666667
5-clone,3,3,12,12,0.104166667,0.6875
5-clone,3,5,1,1,0.1875,0.75
5-clone,3,5,2,2,0.1875,0.75
5-clone,3,5,3,3,0.1875,1
5-clone,3,5,4,4,0.104166667,0.75
5-clone,3,5,5,5,0.1875,1
5-clone,3,5,6,6,0.1875,0.791666667
5-clone,3,5,7,7,0.1875,1
5-clone,3,5,8,8,0.1875,1
5-clone,3,5,9,9,0.1875,1
5-clone,3,5,10,10,0.083333333,1
5-clone,3,5,11,11,0.104166667,1
5-clone,3,5,12,12,0.1875,0.75
5-clone,3,7,1,1,0.229166667,0.75
5-clone,3,7,2,2,0.229166667,0.75
5-clone,3,7,3,3,0.229166667,1
5-clone,3,7,4,4,0.333333333,1
5-clone,3,7,5,5,0.229166667,1
5-clone,3,7,6,6,0.333333333,1
5-clone,3,7,7,7,0.333333333,0.75
5-clone,3,7,8,8,0.229166667,1
5-clone,3,7,9,9,0.229166667,0.75
5-clone,3,7,10,10,0.229166667,1
5-clone,3,7,11,11,0.333333333,1
5-clone,3,7,12,12,0.229166667,1
