treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,5,1,1,1,0.020833333,1
1-clone,5,1,2,2,0.020833333,0.00E+00
1-clone,5,1,3,3,0.020833333,1
1-clone,5,1,4,4,0.020833333,1
1-clone,5,1,5,5,0.020833333,1
1-clone,5,1,6,6,0.020833333,1
1-clone,5,1,7,7,0.020833333,1
1-clone,5,1,8,8,0.020833333,1
1-clone,5,1,9,9,0.020833333,1
1-clone,5,1,10,10,0.020833333,1
1-clone,5,1,11,11,0.020833333,1
1-clone,5,1,12,12,0.020833333,1
1-clone,5,3,1,1,0.166666667,0.458333333
1-clone,5,3,2,2,0.166666667,0.708333333
1-clone,5,3,3,3,0.166666667,7.08E-01
1-clone,5,3,4,4,0.166666667,0.708333333
1-clone,5,3,5,5,0.166666667,1
1-clone,5,3,6,6,0.166666667,7.08E-01
1-clone,5,3,7,7,0.166666667,0.708333333
1-clone,5,3,8,8,0.166666667,0.708333333
1-clone,5,3,9,9,0.166666667,0.708333333
1-clone,5,3,10,10,0.166666667,0.708333333
1-clone,5,3,11,11,0.166666667,0.708333333
1-clone,5,3,12,12,0.166666667,0.708333333
1-clone,5,5,1,1,0.395833333,0.708333333
1-clone,5,5,2,2,0.395833333,0.458333333
1-clone,5,5,3,3,0.395833333,1
1-clone,5,5,4,4,0.395833333,1
1-clone,5,5,5,5,0.395833333,0.5
1-clone,5,5,6,6,0.395833333,1
1-clone,5,5,7,7,0.395833333,1
1-clone,5,5,8,8,0.395833333,1
1-clone,5,5,9,9,0.395833333,0.458333333
1-clone,5,5,10,10,0.395833333,0.458333333
1-clone,5,5,11,11,0.395833333,0.458333333
1-clone,5,5,12,12,0.395833333,0.458333333
1-clone,5,7,1,1,0.020833333,1
1-clone,5,7,2,2,0.020833333,1
1-clone,5,7,3,3,0.020833333,1
1-clone,5,7,4,4,0.375,1
1-clone,5,7,5,5,0.020833333,1
1-clone,5,7,6,6,0.020833333,1
1-clone,5,7,7,7,0.020833333,1
1-clone,5,7,8,8,0.020833333,1
1-clone,5,7,9,9,0.020833333,1
1-clone,5,7,10,10,0.375,1
1-clone,5,7,11,11,0.020833333,1
1-clone,5,7,12,12,0.020833333,1
